Company,Rank,Revenue_Billion,Financial Year,Employees,Market cap_Billion,Founded,Country
Amazon,1,253.9,2018,647500,972.34,1994,US
Google,2,120.8,2018,103549,791.01,1998,US
Facebook,5,55.01,2018,25105,575.43,2004,US
Netflix,7,15.8,2018,5400,140.45,1997,US
PayPal,8,15.4,2018,21800,100.40,1998,US
Booking.com,9,14.5,2018,22900,92.94,1996,US
eBay,11,10.75,2018,14000,34.45,1995,US
Salesforce,12,10.5,2018,29000,120.66,1999,US
Expedia,13,11.2,2018,20000,16.17,1996,US
Bloomberg,14,9.9,2018,19000,,1981,US
Adobe,15,9.4,2018,21200,131.80,1982,US
Uber,16,11.3,2018,12000,74.23,2009,US
Wayfair,18,6.7,2018,14500,10.40,2005,US
Sabre,24,3.8,2018,5814,5.38,1994,US
Tesla,25,21.46,2018,14900,2.44,2008,US
Chewy.com,27,3.5,2018,9833,9.68,2011,US
ServiceNow,31,2.6,2018,6000,43.54,2004,US
Twitter,32,3,2018,3372,24.03,2006,US
Groupon,34,2.8,2018,2780,1.59,2005,US
Newegg,35,2.7,2017,3700,,2003,US
Lyft,36,2.15,2018,4780,11.59,2010,US
GoDaddy,37,2.2,2018,5990,11.20,2004,US
Snapchat,38,1.8,2018,2634,20.59,2011,US
Airbnb.com,39,2.6,2017,3100,,2008,US
Workday,41,1.56,2017,6900,26.98,2005,US
TripAdvisor,42,1.6,2018,3008,5.62,2000,US
Wish,46,1.9,2018,4000,,2008,US
Stitch Fix Clothing Store,47,1.8,2018,1703,2.50,2009,US
Match Group,48,1.7,2018,1870,20.50,2006,US
Copart,49,1.45,2018,5345,19.72,1982,US
Angies List,50,1.1,2018,4500,3.40,1995,US
Grubhub,51,1.1,2018,2773,5.50,2001,US
Zillow,52,1.05,2018,1700,6.50,2006,US
Overstock.com Store,53,1.4,2018,1800,0.30,1999,US
Craigslist,54,1,2018,1000,,1995,US
